You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : SHAD, AMERICAN,,,,
1978,New Hampshire,"SHAD, AMERICAN",3.5,7800,621
1978,New Jersey,"SHAD, AMERICAN",109.8,242100,57352
1978,New York,"SHAD, AMERICAN",139.9,308500,77247
1978,North Carolina,"SHAD, AMERICAN",182.4,402017,144986
1978,Oregon,"SHAD, AMERICAN",304.6,671598,138708
1978,Rhode Island,"SHAD, AMERICAN",0.5,1200,310
1978,South Carolina,"SHAD, AMERICAN",138.2,304715,208905
1978,Virginia,"SHAD, AMERICAN",560.1,1234700,211477
1978,Washington,"SHAD, AMERICAN",11.4,25242,3473
1979,Connecticut,"SHAD, AMERICAN",93.8,206800,154762
1979,Delaware,"SHAD, AMERICAN",43,94900,15339
1979,Florida East Coast,"SHAD, AMERICAN",52.1,114810,55338
1979,Georgia,"SHAD, AMERICAN",121.5,267878,226291
1979,Louisiana,"SHAD, AMERICAN",393.9,868493,79002
1979,Maine,"SHAD, AMERICAN",8.4,18600,1990
1979,Maryland,"SHAD, AMERICAN",21,46200,11997
1979,Massachusetts,"SHAD, AMERICAN",1.4,3100,255
1979,New Hampshire,"SHAD, AMERICAN",3.3,7300,657
1979,New Jersey,"SHAD, AMERICAN",67.4,148600,27325
1979,New York,"SHAD, AMERICAN",198.9,438400,130668
1979,North Carolina,"SHAD, AMERICAN",126.1,278070,121662
1979,Oregon,"SHAD, AMERICAN",319,703166,203593
1979,Rhode Island,"SHAD, AMERICAN",0.6,1400,320
1979,South Carolina,"SHAD, AMERICAN",89.4,197071,155339
1979,Virginia,"SHAD, AMERICAN",438.8,967300,224049
1979,Washington,"SHAD, AMERICAN",11,24335,5348
1980,Connecticut,"SHAD, AMERICAN",140.8,310500,40372
1980,Delaware,"SHAD, AMERICAN",43.5,96000,30616
1980,Florida East Coast,"SHAD, AMERICAN",82.1,180895,107389
1980,Georgia,"SHAD, AMERICAN",85.5,188489,174194
1980,Maine,"SHAD, AMERICAN",12.7,28000,2751
1980,Maryland,"SHAD, AMERICAN",10.8,23800,9317
1980,Massachusetts,"SHAD, AMERICAN",3.8,8400,1463
1980,New Hampshire,"SHAD, AMERICAN",3.1,6900,345
1980,New Jersey,"SHAD, AMERICAN",132.3,291700,55156
1980,New York,"SHAD, AMERICAN",566.5,1248800,292951
1980,North Carolina,"SHAD, AMERICAN",90.4,199206,88112
1980,Oregon,"SHAD, AMERICAN",132.2,291414,58099
1980,Rhode Island,"SHAD, AMERICAN",1,2100,527
1980,Virginia,"SHAD, AMERICAN",441.8,973900,352942
1980,Washington,"SHAD, AMERICAN",1.3,2932,291
1981,California,"SHAD, AMERICAN",0.4,916,591
1981,Connecticut,"SHAD, AMERICAN",147.3,324700,162310
1981,Delaware,"SHAD, AMERICAN",89.5,197300,88785
1981,Florida East Coast,"SHAD, AMERICAN",109.5,241432,91948
1981,Georgia,"SHAD, AMERICAN",88.8,195823,147883
1981,Maine,"SHAD, AMERICAN",41.1,90600,12223
1981,Maryland,"SHAD, AMERICAN",0.3,600,222
1981,Massachusetts,"SHAD, AMERICAN",7.6,16700,1411
1981,New Hampshire,"SHAD, AMERICAN",2.5,5600,604
1981,New Jersey,"SHAD, AMERICAN",119.4,263200,65620
1981,New York,"SHAD, AMERICAN",245.4,541100,150548
1981,North Carolina,"SHAD, AMERICAN",159.4,351500,189793
1981,Oregon,"SHAD, AMERICAN",53.2,117322,27225
1981,Rhode Island,"SHAD, AMERICAN",15.2,33400,6890
1981,South Carolina,"SHAD, AMERICAN",202.4,446312,282547
1981,Virginia,"SHAD, AMERICAN",226.3,498800,140528
1981,Washington,"SHAD, AMERICAN",0.3,754,127
1982,California,"SHAD, AMERICAN",0.8,1718,875
1982,Connecticut,"SHAD, AMERICAN",128.4,283000,198077
1982,Delaware,"SHAD, AMERICAN",158.8,350000,136500
1982,Florida East Coast,"SHAD, AMERICAN",82.1,181001,69742
1982,Georgia,"SHAD, AMERICAN",90,198465,165732
1982,Louisiana,"SHAD, AMERICAN",608.7,1341917,124368
1982,Maine,"SHAD, AMERICAN",11.7,25800,2334
1982,Maryland,"SHAD, AMERICAN",7.3,16100,3616
1982,Massachusetts,"SHAD, AMERICAN",13.3,29400,4661
1982,New Hampshire,"SHAD, AMERICAN",1.2,2700,267
1982,New Jersey,"SHAD, AMERICAN",158.7,349900,104879
1982,New York,"SHAD, AMERICAN",173.8,383200,133140
1982,North Carolina,"SHAD, AMERICAN",184.6,407034,181517
1982,Oregon,"SHAD, AMERICAN",196.6,433482,204874
1982,Rhode Island,"SHAD, AMERICAN",36,79300,27035
1982,Virginia,"SHAD, AMERICAN",265.5,585300,179913
1982,Washington,"SHAD, AMERICAN",30.1,66302,9996
1983,California,"SHAD, AMERICAN",0.3,650,866
1983,Connecticut,"SHAD, AMERICAN",193.2,426000,298200
1983,Delaware,"SHAD, AMERICAN",105.6,232800,74524
1983,Florida East Coast,"SHAD, AMERICAN",35.3,77864,46574
1983,Florida Inland Lakes,"SHAD, AMERICAN",436.8,963000,20000
1983,Georgia,"SHAD, AMERICAN",102.2,225409,175247
1983,Louisiana,"SHAD, AMERICAN",821.7,1811580,181153
1983,Maine,"SHAD, AMERICAN",17.6,38700,3041
1983,Maryland,"SHAD, AMERICAN",28.1,62000,18551
1983,Massachusetts,"SHAD, AMERICAN",6.1,13500,1353
1983,New Hampshire,"SHAD, AMERICAN",1.5,3400,273
1983,New Jersey,"SHAD, AMERICAN",103.6,228500,75490
1983,New York,"SHAD, AMERICAN",203.4,448400,123737
1983,North Carolina,"SHAD, AMERICAN",202.2,445879,187360
1983,Oregon,"SHAD, AMERICAN",163.2,359719,75172
1983,Rhode Island,"SHAD, AMERICAN",10.7,23500,3300
1983,Virginia,"SHAD, AMERICAN",255.9,564100,277850
1983,Washington,"SHAD, AMERICAN",17,37542,7636
1984,California,"SHAD, AMERICAN",0.3,604,216
1984,Connecticut,"SHAD, AMERICAN",180.9,398800,279160
1984,Delaware,"SHAD, AMERICAN",99.8,220000,66000
1984,Florida East Coast,"SHAD, AMERICAN",221.1,487527,86821
1984,Florida Inland Lakes,"SHAD, AMERICAN",367,809000,213000
1984,Georgia,"SHAD, AMERICAN",97.3,214483,151477
1984,Louisiana,"SHAD, AMERICAN",150.7,332298,33085
1984,Maine,"SHAD, AMERICAN",15.1,33300,1956
1984,Maryland,"SHAD, AMERICAN",31.9,70300,17991
1984,Massachusetts,"SHAD, AMERICAN",13.5,29700,3117
1984,New Hampshire,"SHAD, AMERICAN",2.3,5100,318
1984,New Jersey,"SHAD, AMERICAN",133,293200,76908
1984,New York,"SHAD, AMERICAN",272.8,601500,148027
1984,North Carolina,"SHAD, AMERICAN",265.3,584843,241009
1984,Oregon,"SHAD, AMERICAN",90,198414,44934
1984,Rhode Island,"SHAD, AMERICAN",16.6,36600,3757
1984,South Carolina,"SHAD, AMERICAN",224.5,495005,317033
1984,Virginia,"SHAD, AMERICAN",576.1,1270100,423662
1984,Washington,"SHAD, AMERICAN",6,13206,1586
1985,California,"SHAD, AMERICAN",15.3,33641,52054
1985,Connecticut,"SHAD, AMERICAN",182.3,402000,281400
1985,Delaware,"SHAD, AMERICAN",92.3,203400,40680
1985,Florida East Coast,"SHAD, AMERICAN",43.4,95745,64975
1985,Florida Inland Lakes,"SHAD, AMERICAN",317.5,700000,168000
1985,Georgia,"SHAD, AMERICAN",108.9,240010,143682
1985,Louisiana,"SHAD, AMERICAN",35.4,77960,7755
1985,Maine,"SHAD, AMERICAN",7.3,16000,933
1985,Maryland,"SHAD, AMERICAN",85.9,189400,41936
1985,Massachusetts,"SHAD, AMERICAN",10.1,22300,2566
1985,New Hampshire,"SHAD, AMERICAN",3.3,7300,576
1985,New Jersey,"SHAD, AMERICAN",132.3,291700,81337
1985,New York,"SHAD, AMERICAN",351,773864,196807
1985,North Carolina,"SHAD, AMERICAN",149.5,329639,152547
1985,Oregon,"SHAD, AMERICAN",63.6,140143,27294
1985,Rhode Island,"SHAD, AMERICAN",41.2,90800,12478
1985,Virginia,"SHAD, AMERICAN",287,632710,215872
1985,Washington,"SHAD, AMERICAN",2.9,6308,2735
1986,California,"SHAD, AMERICAN",19.5,42938,80007
1986,Connecticut,"SHAD, AMERICAN",146.1,322000,225400
1986,Delaware,"SHAD, AMERICAN",109.9,242300,58184
1986,Florida East Coast,"SHAD, AMERICAN",28.1,62059,38980
1986,Florida West Coast,"SHAD, AMERICAN",963.4,2123941,106194
1986,Florida Inland Lakes,"SHAD, AMERICAN",1.8,4000,3000
1986,Georgia,"SHAD, AMERICAN",71.1,156848,98080
1986,Louisiana,"SHAD, AMERICAN",24.2,53435,5539
1986,Maine,"SHAD, AMERICAN",10.5,23100,2880
1986,Maryland,"SHAD, AMERICAN",61.1,134600,31687
1986,Massachusetts,"SHAD, AMERICAN",27.3,60100,6887
1986,New Hampshire,"SHAD, AMERICAN",7.7,16900,1662
1986,New Jersey,"SHAD, AMERICAN",152,335100,79513
1986,New York,"SHAD, AMERICAN",312.4,688668,149550
1986,North Carolina,"SHAD, AMERICAN",169.6,373794,228819
1986,Oregon,"SHAD, AMERICAN",155.7,343154,67613
1986,Rhode Island,"SHAD, AMERICAN",23.8,52400,8092
1986,South Carolina,"SHAD, AMERICAN",218.5,481601,365555
1986,Virginia,"SHAD, AMERICAN",260,573100,157305
1986,Washington,"SHAD, AMERICAN",1,2225,116
1987,California,"SHAD, AMERICAN",16.4,36207,60703
1987,Connecticut,"SHAD, AMERICAN",151.5,333900,233730
1987,Delaware,"SHAD, AMERICAN",117.5,259100,68808
1987,Florida East Coast,"SHAD, AMERICAN",82.4,181623,15919
1987,Georgia,"SHAD, AMERICAN",131.9,290797,219473
1987,Louisiana,"SHAD, AMERICAN",170.4,375591,64129
1987,Maine,"SHAD, AMERICAN",12,26500,3007
1987,Maryland,"SHAD, AMERICAN",85.9,189300,53124
1987,Massachusetts,"SHAD, AMERICAN",18.5,40800,5369
1987,New Hampshire,"SHAD, AMERICAN",18.7,41300,5128
1987,New Jersey,"SHAD, AMERICAN",121.5,267800,83262
1987,New York,"SHAD, AMERICAN",280.8,619082,136424
1987,North Carolina,"SHAD, AMERICAN",148.6,327646,215115
1987,Oregon,"SHAD, AMERICAN",165.8,365482,63742
1987,Rhode Island,"SHAD, AMERICAN",47.1,103900,15031
1987,South Carolina,"SHAD, AMERICAN",220.7,486501,359810
1987,Virginia,"SHAD, AMERICAN",287,632800,232046
1987,Washington,"SHAD, AMERICAN",15.4,33918,5874
1988,California,"SHAD, AMERICAN",14.7,32417,53249
1988,Connecticut,"SHAD, AMERICAN",85.8,189100,132370
1988,Delaware,"SHAD, AMERICAN",143.9,317200,103015
1988,Florida East Coast,"SHAD, AMERICAN",128.2,282556,80154
1988,Florida West Coast,"SHAD, AMERICAN",662,1459504,138612
1988,Georgia,"SHAD, AMERICAN",66.9,147501,109242
1988,Louisiana,"SHAD, AMERICAN",11.8,26078,4607
1988,Maine,"SHAD, AMERICAN",14.3,31600,2986
1988,Maryland,"SHAD, AMERICAN",191.4,421900,132594
1988,Massachusetts,"SHAD, AMERICAN",23.1,50860,6568
1988,New Hampshire,"SHAD, AMERICAN",20.8,45900,5435
1988,New Jersey,"SHAD, AMERICAN",197.1,434600,168209
1988,New York,"SHAD, AMERICAN",273.2,602332,232762
1988,North Carolina,"SHAD, AMERICAN",128.4,283050,171962
1988,Oregon,"SHAD, AMERICAN",178.5,393621,91187
1988,Rhode Island,"SHAD, AMERICAN",55.3,122000,24102
1988,South Carolina,"SHAD, AMERICAN",167.6,369542,332663
1988,Virginia,"SHAD, AMERICAN",219.1,483000,174389
1988,Washington,"SHAD, AMERICAN",18.1,39837,4197
1989,California,"SHAD, AMERICAN",15.6,34425,50031
1989,Connecticut,"SHAD, AMERICAN",82.1,181100,126770
1989,Delaware,"SHAD, AMERICAN",102.1,225100,56280
1989,Florida East Coast,"SHAD, AMERICAN",80.9,178307,60961
1989,Florida West Coast,"SHAD, AMERICAN",680.4,1499971,126394
1989,Georgia,"SHAD, AMERICAN",60.7,133836,122523
1989,Louisiana,"SHAD, AMERICAN",14.6,32092,4534
1989,Maine,"SHAD, AMERICAN",21.1,46600,9645
1989,Maryland,"SHAD, AMERICAN",271.3,598200,194691
1989,Massachusetts,"SHAD, AMERICAN",6.1,13500,2667
1989,New Hampshire,"SHAD, AMERICAN",13.9,30600,5665
1989,New Jersey,"SHAD, AMERICAN",238.1,525000,178247
1989,New York,"SHAD, AMERICAN",169.8,374300,146454
1989,North Carolina,"SHAD, AMERICAN",146.7,323396,214896
1989,Oregon,"SHAD, AMERICAN",88.2,194516,72917
1989,Rhode Island,"SHAD, AMERICAN",18.9,41600,6245
1989,South Carolina,"SHAD, AMERICAN",157.3,346812,331889
1989,Virginia,"SHAD, AMERICAN",228.3,503300,209962
1990,California,"SHAD, AMERICAN",25,55011,92481
1990,Connecticut,"SHAD, AMERICAN",117.7,259425,181597
1990,Delaware,"SHAD, AMERICAN",224.1,494000,148225
1990,Florida East Coast,"SHAD, AMERICAN",129.3,285027,183424
1990,Florida West Coast,"SHAD, AMERICAN",87.5,192867,28579
1990,Georgia,"SHAD, AMERICAN",42.8,94434,79268
1990,Louisiana,"SHAD, AMERICAN",173.9,383366,35265
1990,Maine,"SHAD, AMERICAN",5.4,11804,2253
1990,Maryland,"SHAD, AMERICAN",188.6,415721,140114
1990,Massachusetts,"SHAD, AMERICAN",2.5,5605,2045
1990,New Hampshire,"SHAD, AMERICAN",17.3,38206,6665
1990,New Jersey,"SHAD, AMERICAN",277.4,611645,216378
1990,New York,"SHAD, AMERICAN",148.5,327353,136254
1990,North Carolina,"SHAD, AMERICAN",142.2,313550,170161
1990,Oregon,"SHAD, AMERICAN",225.7,497513,93147
1990,Rhode Island,"SHAD, AMERICAN",10.3,22788,3334
1990,South Carolina,"SHAD, AMERICAN",102.1,225106,212249
1990,Virginia,"SHAD, AMERICAN",206.1,454414,206537
1990,Washington,"SHAD, AMERICAN",1.6,3545,722
1991,California,"SHAD, AMERICAN",37.2,81934,145891
1991,Connecticut,"SHAD, AMERICAN",67.7,149300,104510
1991,Delaware,"SHAD, AMERICAN",213.6,471000,141300
1991,Florida East Coast,"SHAD, AMERICAN",29.1,64101,31609
1991,Florida West Coast,"SHAD, AMERICAN",53.5,117838,13417
1991,Georgia,"SHAD, AMERICAN",36.5,80567,67415
1991,Louisiana,"SHAD, AMERICAN",130,286700,30749
1991,Maine,"SHAD, AMERICAN",0.9,1991,444
1991,Maryland,"SHAD, AMERICAN",131.5,289895,151782
1991,Massachusetts,"SHAD, AMERICAN",0.3,638,149
1991,New Hampshire,"SHAD, AMERICAN",8.6,18924,4535
1991,New Jersey,"SHAD, AMERICAN",205.9,453968,223499
1991,New York,"SHAD, AMERICAN",135.5,298805,127036
1991,North Carolina,"SHAD, AMERICAN",125.4,276507,201880
1991,Oregon,"SHAD, AMERICAN",64,141094,30716
1991,Rhode Island,"SHAD, AMERICAN",12.6,27815,4715
1991,South Carolina,"SHAD, AMERICAN",111.5,245741,144150
1991,Virginia,"SHAD, AMERICAN",204.3,450467,226085
1992,California,"SHAD, AMERICAN",28.3,62373,109670
1992,Connecticut,"SHAD, AMERICAN",65.5,144300,101010
1992,Delaware,"SHAD, AMERICAN",128.8,283900,165126
1992,Florida East Coast,"SHAD, AMERICAN",22.3,49162,23724
1992,Florida West Coast,"SHAD, AMERICAN",79,174211,21881
1992,Georgia,"SHAD, AMERICAN",42.8,94446,69619
1992,Louisiana,"SHAD, AMERICAN",346.6,764080,82286
1992,Maine,"SHAD, AMERICAN",0.7,1447,334
1992,Maryland,"SHAD, AMERICAN",119.9,264337,120944
1992,Massachusetts,"SHAD, AMERICAN",0.1,308,92
1992,New Hampshire,"SHAD, AMERICAN",4.5,9903,2429
1992,New Jersey,"SHAD, AMERICAN",166.4,366828,213306
1992,New York,"SHAD, AMERICAN",111.2,245110,128651
1992,North Carolina,"SHAD, AMERICAN",108.5,239162,194629
1992,Oregon,"SHAD, AMERICAN",193.1,425724,76690
1992,Rhode Island,"SHAD, AMERICAN",6,13292,2132
1992,South Carolina,"SHAD, AMERICAN",111.2,245046,220591
1992,Virginia,"SHAD, AMERICAN",216.9,478194,234304
1992,Washington,"SHAD, AMERICAN",0.8,1672,171
1993,California,"SHAD, AMERICAN",23.4,51553,89195
1993,Connecticut,"SHAD, AMERICAN",43.8,96660,67342
1993,Delaware,"SHAD, AMERICAN",144,317400,206310
1993,Florida East Coast,"SHAD, AMERICAN",30.2,66517,18135
1993,Florida West Coast,"SHAD, AMERICAN",103.6,228497,33466
1993,Georgia,"SHAD, AMERICAN",27.2,59986,64498
1993,Louisiana,"SHAD, AMERICAN",455.5,1004087,116338
1993,Maine,"SHAD, AMERICAN",0.4,802,115
1993,Maryland,"SHAD, AMERICAN",45,99117,49430
1993,Massachusetts,"SHAD, AMERICAN",0.2,423,252
1993,New Hampshire,"SHAD, AMERICAN",3,6549,1764
1993,New Jersey,"SHAD, AMERICAN",164.4,362437,237475
1993,New York,"SHAD, AMERICAN",54.5,120105,98563
1993,North Carolina,"SHAD, AMERICAN",81.1,178790,149739
1993,Oregon,"SHAD, AMERICAN",189.2,417055,66724
1993,Rhode Island,"SHAD, AMERICAN",18.4,40552,4390
1993,South Carolina,"SHAD, AMERICAN",51.2,112877,144248
1993,Virginia,"SHAD, AMERICAN",251.2,553698,434735
1994,California,"SHAD, AMERICAN",26.6,58670,98634
1994,Connecticut,"SHAD, AMERICAN",47.2,104000,73000
1994,Delaware,"SHAD, AMERICAN",101.6,224000,216599
1994,Florida East Coast,"SHAD, AMERICAN",14,30765,6476
1994,Florida West Coast,"SHAD, AMERICAN",135,297612,42981
1994,Georgia,"SHAD, AMERICAN",32.2,70917,77757
1994,Louisiana,"SHAD, AMERICAN",172,379120,38258
1994,Maine,"SHAD, AMERICAN",0.5,1051,134
1994,Maryland,"SHAD, AMERICAN",9.9,21933,18035
1994,Massachusetts,"SHAD, AMERICAN",0.1,286,174
1994,New Hampshire,"SHAD, AMERICAN",12.8,28226,8850
1994,New Jersey,"SHAD, AMERICAN",118.7,261619,222001
1994,New York,"SHAD, AMERICAN",55.5,122425,93415
1994,North Carolina,"SHAD, AMERICAN",50.3,110993,95725
1994,Oregon,"SHAD, AMERICAN",101.6,224010,48379
1994,Rhode Island,"SHAD, AMERICAN",8.1,17938,3142
1994,South Carolina,"SHAD, AMERICAN",55.4,122159,164243
1994,Virginia,"SHAD, AMERICAN",171.4,377780,381107
1995,California,"SHAD, AMERICAN",16,35256,61663
1995,Connecticut,"SHAD, AMERICAN",27.9,61576,58497
1995,Delaware,"SHAD, AMERICAN",92.9,204900,162605
1995,Florida East Coast,"SHAD, AMERICAN",10.7,23653,21014
1995,Florida West Coast,"SHAD, AMERICAN",13.1,28957,4584
1995,Georgia,"SHAD, AMERICAN",76.4,168541,128953
1995,Louisiana,"SHAD, AMERICAN",447.1,985642,102874
1995,Maine,"SHAD, AMERICAN",0.2,382,71
1995,Massachusetts,"SHAD, AMERICAN",0.2,454,138
1995,New Hampshire,"SHAD, AMERICAN",13.9,30561,7789
1995,New Jersey,"SHAD, AMERICAN",132.9,292982,234178
1995,New York,"SHAD, AMERICAN",83.4,183954,175425
1995,North Carolina,"SHAD, AMERICAN",93.4,205881,188532
1995,Oregon,"SHAD, AMERICAN",147.8,325831,86880
1995,Rhode Island,"SHAD, AMERICAN",12.7,27950,5048
1995,South Carolina,"SHAD, AMERICAN",129.5,285604,256538
1995,Virginia,"SHAD, AMERICAN",68.5,150911,91064
1995,Washington,"SHAD, AMERICAN",2.7,5870,1364
1996,California,"SHAD, AMERICAN",31.9,70394,109706
1996,Connecticut,"SHAD, AMERICAN",30.3,66757,61899
1996,Florida East Coast,"SHAD, AMERICAN",3.5,7769,1313
1996,Florida West Coast,"SHAD, AMERICAN",0.5,1062,662
1996,Georgia,"SHAD, AMERICAN",67.5,148866,107505
1996,Louisiana,"SHAD, AMERICAN",414.5,913698,102641
1996,Maine,"SHAD, AMERICAN",0.5,1070,209
1996,Massachusetts,"SHAD, AMERICAN",0.1,134,44
1996,New Hampshire,"SHAD, AMERICAN",16.1,35533,9030
1996,New Jersey,"SHAD, AMERICAN",96.8,213436,116446
1996,New York,"SHAD, AMERICAN",62.4,137560,120328
1996,North Carolina,"SHAD, AMERICAN",90.3,199153,171640
1996,Oregon,"SHAD, AMERICAN",108.1,238233,54780
1996,Rhode Island,"SHAD, AMERICAN",6.5,14225,3847
1996,South Carolina,"SHAD, AMERICAN",236,520222,472601
1996,Virginia,"SHAD, AMERICAN",108,238112,269107
1996,Washington,"SHAD, AMERICAN",242.4,534393,73466
1997,California,"SHAD, AMERICAN",30,66203,108301
1997,Connecticut,"SHAD, AMERICAN",41.3,91003,84324
1997,Delaware,"SHAD, AMERICAN",78.3,172574,52690
1997,Florida West Coast,"SHAD, AMERICAN",1.7,3688,961
1997,Georgia,"SHAD, AMERICAN",55.7,122692,91589
1997,Louisiana,"SHAD, AMERICAN",443.5,977772,119782
1997,Maine,"SHAD, AMERICAN",0.1,194,58
1997,Maryland,"SHAD, AMERICAN",75.4,166131,59929
1997,Massachusetts,"SHAD, AMERICAN",0.3,752,239
1997,New Hampshire,"SHAD, AMERICAN",11.5,25436,4794
1997,New Jersey,"SHAD, AMERICAN",117.7,259539,162667
1997,New York,"SHAD, AMERICAN",17.1,37747,11829
1997,North Carolina,"SHAD, AMERICAN",99.6,219544,149205
1997,Oregon,"SHAD, AMERICAN",35.6,78576,12955
1997,Rhode Island,"SHAD, AMERICAN",16.7,36760,6689
1997,South Carolina,"SHAD, AMERICAN",155.7,343277,255786
1997,Virginia,"SHAD, AMERICAN",162.3,357818,113033
1997,Washington,"SHAD, AMERICAN",6.5,14418,2100
1998,California,"SHAD, AMERICAN",25.1,55296,75181
1998,Connecticut,"SHAD, AMERICAN",40.5,89342,83205
1998,Delaware,"SHAD, AMERICAN",98.6,217314,56922
1998,Florida West Coast,"SHAD, AMERICAN",0.1,325,304
1998,Georgia,"SHAD, AMERICAN",57.5,126698,81666
1998,Louisiana,"SHAD, AMERICAN",847.9,1869243,255184
1998,Maine,"SHAD, AMERICAN",0.2,424,81
1998,Maryland,"SHAD, AMERICAN",54.1,119236,42439
1998,Massachusetts,"SHAD, AMERICAN",0.8,1765,369
1998,New Hampshire,"SHAD, AMERICAN",6.9,15169,3605
1998,New Jersey,"SHAD, AMERICAN",111.6,246087,88259
1998,New York,"SHAD, AMERICAN",115,253498,239178
1998,North Carolina,"SHAD, AMERICAN",148.6,327575,233763
1998,Oregon,"SHAD, AMERICAN",36.4,80309,18938
1998,Rhode Island,"SHAD, AMERICAN",15.2,33590,5558
1998,South Carolina,"SHAD, AMERICAN",180.2,397192,237910
1998,Virginia,"SHAD, AMERICAN",157.6,347505,256903
1998,Washington,"SHAD, AMERICAN",47.3,104376,32679
1999,California,"SHAD, AMERICAN",24.4,53886,48220
1999,Connecticut,"SHAD, AMERICAN",20.2,44574,42213
1999,Delaware,"SHAD, AMERICAN",103.7,228625,127681
1999,Florida West Coast,"SHAD, AMERICAN",3.7,8096,1463
1999,Georgia,"SHAD, AMERICAN",19.8,43583,44048
1999,Louisiana,"SHAD, AMERICAN",321,707629,73427
1999,Maine,"SHAD, AMERICAN",0.1,169,52
1999,Maryland,"SHAD, AMERICAN",27.7,61074,26492
1999,Massachusetts,"SHAD, AMERICAN",0.1,223,28
1999,New Hampshire,"SHAD, AMERICAN",1.7,3674,530
1999,New Jersey,"SHAD, AMERICAN",121.1,267084,150534
1999,New York,"SHAD, AMERICAN",75.1,165476,104796
1999,North Carolina,"SHAD, AMERICAN",59.7,131623,108146
1999,Oregon,"SHAD, AMERICAN",46.7,102951,22011
1999,Rhode Island,"SHAD, AMERICAN",20.1,44252,11640
1999,South Carolina,"SHAD, AMERICAN",83.5,184167,217847
1999,Virginia,"SHAD, AMERICAN",105,231556,148811
1999,Washington,"SHAD, AMERICAN",43.7,96403,30720
2000,California,"SHAD, AMERICAN",23.7,52247,58873
2000,Connecticut,"SHAD, AMERICAN",48.7,107416,86738
2000,Delaware,"SHAD, AMERICAN",79,174175,47702
2000,Florida West Coast,"SHAD, AMERICAN",1.4,3049,1270
2000,Georgia,"SHAD, AMERICAN",25.3,55690,32271
2000,Maine,"SHAD, AMERICAN",0.1,291,90
2000,Maryland,"SHAD, AMERICAN",16.3,36044,9880
2000,Massachusetts,"SHAD, AMERICAN",0.1,268,52
2000,New Hampshire,"SHAD, AMERICAN",2.7,5942,642
2000,New Jersey,"SHAD, AMERICAN",129.8,286248,164357
2000,New York,"SHAD, AMERICAN",11.8,25960,8097
2000,North Carolina,"SHAD, AMERICAN",135.2,298003,213029
2000,Oregon,"SHAD, AMERICAN",69.8,153849,14698
2000,Rhode Island,"SHAD, AMERICAN",7.9,17315,4684
2000,South Carolina,"SHAD, AMERICAN",228.5,503807,346049
2000,Virginia,"SHAD, AMERICAN",74.5,164200,97500
2000,Washington,"SHAD, AMERICAN",35.7,78708,26482
2001,California,"SHAD, AMERICAN",50.8,111960,89806
2001,Connecticut,"SHAD, AMERICAN",26.9,59234,43434
2001,Delaware,"SHAD, AMERICAN",129.7,285896,65455
2001,Georgia,"SHAD, AMERICAN",14,30944,25800
2001,Maine,"SHAD, AMERICAN",0.2,476,58
2001,Maryland,"SHAD, AMERICAN",26,57381,15113
2001,Massachusetts,"SHAD, AMERICAN",0.5,1051,346
2001,New Hampshire,"SHAD, AMERICAN",0.4,811,168
2001,New Jersey,"SHAD, AMERICAN",111.9,246637,101194
2001,New York,"SHAD, AMERICAN",14.2,31324,8094
2001,North Carolina,"SHAD, AMERICAN",68.5,151094,94399
2001,Oregon,"SHAD, AMERICAN",125.9,277494,27428
2001,Rhode Island,"SHAD, AMERICAN",30.8,67851,14102
2001,South Carolina,"SHAD, AMERICAN",138.4,305086,227436
2001,Virginia,"SHAD, AMERICAN",114.6,252619,119202
2001,Washington,"SHAD, AMERICAN",52.5,115788,60022
2002,California,"SHAD, AMERICAN",24.1,53069,59425
2002,Connecticut,"SHAD, AMERICAN",49,108099,84290
2002,Delaware,"SHAD, AMERICAN",56.8,125292,66848
2002,Georgia,"SHAD, AMERICAN",11.5,25397,21351
2002,Maine,"SHAD, AMERICAN",0,18,4
2002,Maryland,"SHAD, AMERICAN",18.7,41316,11383
2002,Massachusetts,"SHAD, AMERICAN",0.2,424,70
2002,New Jersey,"SHAD, AMERICAN",112.1,247145,117749
2002,New York,"SHAD, AMERICAN",27.6,60905,14447
2002,North Carolina,"SHAD, AMERICAN",124.6,274671,174147
2002,Oregon,"SHAD, AMERICAN",49.4,108856,23829
2002,Rhode Island,"SHAD, AMERICAN",39.6,87197,13860
2002,South Carolina,"SHAD, AMERICAN",242.5,534551,390457
2002,Virginia,"SHAD, AMERICAN",69.1,152309,58823
2002,Washington,"SHAD, AMERICAN",16.3,36000,6688
2003,California,"SHAD, AMERICAN",46.6,102645,106733
2003,Connecticut,"SHAD, AMERICAN",50.4,111127,75815
2003,Delaware,"SHAD, AMERICAN",42.3,93244,75286
2003,Georgia,"SHAD, AMERICAN",15.3,33823,25815
2003,Maine,"SHAD, AMERICAN",0,4,1
2003,Maryland,"SHAD, AMERICAN",4.9,10734,6733
2003,Massachusetts,"SHAD, AMERICAN",0.5,1109,363
2003,New Jersey,"SHAD, AMERICAN",107.7,237447,136750
2003,New York,"SHAD, AMERICAN",67.2,148121,102782
2003,North Carolina,"SHAD, AMERICAN",179.3,395263,251542
2003,Oregon,"SHAD, AMERICAN",76.2,168039,39261
2003,Rhode Island,"SHAD, AMERICAN",17.5,38686,8608
2003,South Carolina,"SHAD, AMERICAN",176.4,388820,289507
