You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : CLAM, SOFTSHELL,,,,
2009,Massachusetts,"CLAM, SOFTSHELL",475.6,1048574,6652360
2009,New York,"CLAM, SOFTSHELL",51.8,114281,700325
2009,Rhode Island,"CLAM, SOFTSHELL",45.4,100111,778640
2009,Washington,"CLAM, SOFTSHELL",308.9,681005,485755
2010,Maine,"CLAM, SOFTSHELL",941.9,2076540,12959799
2010,Maryland,"CLAM, SOFTSHELL",14.3,31538,198439
2010,Massachusetts,"CLAM, SOFTSHELL",503.4,1109887,5960984
2010,New York,"CLAM, SOFTSHELL",52.5,115709,709474
2010,Rhode Island,"CLAM, SOFTSHELL",64.7,142585,848155
2010,Washington,"CLAM, SOFTSHELL",416.4,918062,625200
2011,Maine,"CLAM, SOFTSHELL",1073,2365437,15851519
2011,Maryland,"CLAM, SOFTSHELL",17.4,38271,252060
2011,Massachusetts,"CLAM, SOFTSHELL",374.4,825371,4723456
2011,New York,"CLAM, SOFTSHELL",26,57282,350993
2011,Rhode Island,"CLAM, SOFTSHELL",17,37484,335785
2011,Washington,"CLAM, SOFTSHELL",238.1,524970,357505
2012,Maine,"CLAM, SOFTSHELL",1024,2257462,15655200
2012,Maryland,"CLAM, SOFTSHELL",0.8,1744,3524
2012,Massachusetts,"CLAM, SOFTSHELL",442.4,975344,6438800
2012,New York,"CLAM, SOFTSHELL",24.6,54169,331961
2012,Rhode Island,"CLAM, SOFTSHELL",3.8,8447,83466
2012,Washington,"CLAM, SOFTSHELL",274.2,604526,427562
2013,Maine,"CLAM, SOFTSHELL",1041.9,2296866,18102463
2013,Maryland,"CLAM, SOFTSHELL",0.9,1929,3117
2013,Massachusetts,"CLAM, SOFTSHELL",306.2,675154,4625474
2013,New York,"CLAM, SOFTSHELL",62.8,138356,847994
2013,Rhode Island,"CLAM, SOFTSHELL",4.2,9337,112803
2013,Washington,"CLAM, SOFTSHELL",283.6,625334,454199
2014,Maine,"CLAM, SOFTSHELL",943.4,2079816,20231531
2014,Maryland,"CLAM, SOFTSHELL",6.8,14994,145850
2014,Massachusetts,"CLAM, SOFTSHELL",188.2,414976,4004946
2014,New York,"CLAM, SOFTSHELL",72.7,160212,981919
2014,Rhode Island,"CLAM, SOFTSHELL",3.5,7731,102771
2014,Washington,"CLAM, SOFTSHELL",424.5,935920,637415
2015,Maine,"CLAM, SOFTSHELL",858,1891625,22846753
2015,Maryland,"CLAM, SOFTSHELL",32.6,71829,746614
2015,Massachusetts,"CLAM, SOFTSHELL",188.8,416180,4472995
2015,New York,"CLAM, SOFTSHELL",88,194075,1427127
2015,Rhode Island,"CLAM, SOFTSHELL",3.2,7037,100437
2015,Washington,"CLAM, SOFTSHELL",455.9,1005182,684531
2016,Maine,"CLAM, SOFTSHELL",711.6,1568734,16225265
2016,Maryland,"CLAM, SOFTSHELL",138.6,305617,2360812
2016,Massachusetts,"CLAM, SOFTSHELL",303.4,668917,6159825
2016,New York,"CLAM, SOFTSHELL",110.1,242639,1137397
2016,Rhode Island,"CLAM, SOFTSHELL",1.2,2580,38295
2016,Virginia,"CLAM, SOFTSHELL",1,2297,4334
