You Asked For the Following:,,,,,
Year           : From:1950 To: 2016,,,,,
State            : All States By State,,,,,
Species          : OYSTER, EASTERN,,,,
1970,Florida West Coast,"OYSTER, EASTERN",1621.10,3573800.00,1474760.00
1970,Georgia,"OYSTER, EASTERN",81.10,178700.00,100347.00
1970,Louisiana,"OYSTER, EASTERN",3918.60,8638900.00,3630566.00
1970,Maryland,"OYSTER, EASTERN",7541.10,16625200.00,9653498.00
1970,Massachusetts,"OYSTER, EASTERN",26.60,58700.00,165352.00
1970,Mississippi,"OYSTER, EASTERN",248.30,547500.00,237531.00
1970,New Jersey,"OYSTER, EASTERN",307.20,677200.00,556848.00
1970,New York,"OYSTER, EASTERN",235.50,519200.00,1074870.00
1970,North Carolina,"OYSTER, EASTERN",173.50,382500.00,269119.00
1970,Rhode Island,"OYSTER, EASTERN",3.20,7000.00,8557.00
1970,South Carolina,"OYSTER, EASTERN",386.60,852200.00,484857.00
1970,Texas,"OYSTER, EASTERN",2120.40,4674700.00,2040749.00
1970,Virginia,"OYSTER, EASTERN",3648.40,8043300.00,5426940.00
1971,Alabama,"OYSTER, EASTERN",113.20,249500.00,151620.00
1971,California,"OYSTER, EASTERN",6.30,13900.00,40700.00
1971,Connecticut,"OYSTER, EASTERN",60.20,132700.00,230540.00
1971,Delaware,"OYSTER, EASTERN",143.10,315400.00,202228.00
1971,Florida East Coast,"OYSTER, EASTERN",82.60,182000.00,72795.00
1971,Florida West Coast,"OYSTER, EASTERN",1600.60,3528700.00,1568281.00
1971,Georgia,"OYSTER, EASTERN",62.80,138500.00,72870.00
1971,Louisiana,"OYSTER, EASTERN",4775.20,10527300.00,4637295.00
1971,Maryland,"OYSTER, EASTERN",7764.20,17116900.00,10535549.00
1971,Massachusetts,"OYSTER, EASTERN",25.00,55100.00,153720.00
1971,Mississippi,"OYSTER, EASTERN",550.90,1214500.00,472274.00
1971,New Jersey,"OYSTER, EASTERN",395.30,871500.00,708630.00
1971,New York,"OYSTER, EASTERN",353.10,778400.00,1681845.00
1971,North Carolina,"OYSTER, EASTERN",192.10,423400.00,288784.00
1971,Rhode Island,"OYSTER, EASTERN",1.50,3300.00,4675.00
1971,South Carolina,"OYSTER, EASTERN",499.70,1101600.00,602230.00
1971,Texas,"OYSTER, EASTERN",2152.00,4744300.00,2377914.00
1971,Virginia,"OYSTER, EASTERN",3829.00,8441500.00,5509965.00
1972,Alabama,"OYSTER, EASTERN",485.10,1069400.00,700636.00
1972,California,"OYSTER, EASTERN",4.10,9000.00,26543.00
1972,Connecticut,"OYSTER, EASTERN",36.20,79900.00,154921.00
1972,Delaware,"OYSTER, EASTERN",230.80,508800.00,413367.00
1972,Florida East Coast,"OYSTER, EASTERN",57.30,126300.00,72008.00
1972,Florida West Coast,"OYSTER, EASTERN",1465.50,3230900.00,1509522.00
1972,Georgia,"OYSTER, EASTERN",69.00,152100.00,86812.00
1972,Louisiana,"OYSTER, EASTERN",3994.10,8805400.00,4457635.00
1972,Maryland,"OYSTER, EASTERN",8642.30,19052800.00,12075629.00
1972,Massachusetts,"OYSTER, EASTERN",21.10,46500.00,132610.00
1972,Mississippi,"OYSTER, EASTERN",553.60,1220400.00,580876.00
1972,New Jersey,"OYSTER, EASTERN",777.50,1714100.00,1370071.00
1972,New York,"OYSTER, EASTERN",504.60,1112500.00,2466617.00
1972,North Carolina,"OYSTER, EASTERN",213.20,470100.00,344217.00
1972,Rhode Island,"OYSTER, EASTERN",1.50,3200.00,4928.00
1972,South Carolina,"OYSTER, EASTERN",507.90,1119700.00,603442.00
1972,Texas,"OYSTER, EASTERN",1784.60,3934400.00,2507202.00
1972,Virginia,"OYSTER, EASTERN",2274.50,5014400.00,3240723.00
1973,Alabama,"OYSTER, EASTERN",267.70,590100.00,496302.00
1973,California,"OYSTER, EASTERN",0.50,1100.00,4018.00
1973,Connecticut,"OYSTER, EASTERN",64.00,141000.00,273969.00
1973,Delaware,"OYSTER, EASTERN",178.20,392800.00,342923.00
1973,Florida East Coast,"OYSTER, EASTERN",55.50,122400.00,98505.00
1973,Florida West Coast,"OYSTER, EASTERN",1092.70,2409000.00,1494499.00
1973,Georgia,"OYSTER, EASTERN",48.00,105900.00,65122.00
1973,Louisiana,"OYSTER, EASTERN",4061.60,8954100.00,5545022.00
1973,Maryland,"OYSTER, EASTERN",9263.40,20422200.00,13587262.00
1973,Massachusetts,"OYSTER, EASTERN",18.00,39700.00,122486.00
1973,Mississippi,"OYSTER, EASTERN",277.40,611500.00,365102.00
1973,New Jersey,"OYSTER, EASTERN",633.80,1397200.00,1329232.00
1973,New York,"OYSTER, EASTERN",631.40,1391900.00,3258464.00
1973,North Carolina,"OYSTER, EASTERN",248.70,548200.00,446485.00
1973,South Carolina,"OYSTER, EASTERN",398.30,878100.00,505362.00
1973,Texas,"OYSTER, EASTERN",1065.00,2348000.00,1812554.00
1973,Virginia,"OYSTER, EASTERN",2258.70,4979500.00,3178554.00
1974,Alabama,"OYSTER, EASTERN",332.40,732800.00,640657.00
1974,California,"OYSTER, EASTERN",1.00,2200.00,8055.00
1974,Connecticut,"OYSTER, EASTERN",270.80,596900.00,1161750.00
1974,Delaware,"OYSTER, EASTERN",79.80,175900.00,160725.00
1974,Florida East Coast,"OYSTER, EASTERN",44.30,97700.00,85523.00
1974,Florida West Coast,"OYSTER, EASTERN",1203.70,2653700.00,1523716.00
1974,Georgia,"OYSTER, EASTERN",29.30,64700.00,36040.00
1974,Louisiana,"OYSTER, EASTERN",4523.10,9971600.00,6347912.00
1974,Maryland,"OYSTER, EASTERN",8293.60,18284100.00,12707575.00
1974,Massachusetts,"OYSTER, EASTERN",21.40,47100.00,132909.00
1974,Mississippi,"OYSTER, EASTERN",125.50,276600.00,157304.00
1974,New Jersey,"OYSTER, EASTERN",458.10,1009900.00,1028702.00
1974,New York,"OYSTER, EASTERN",704.90,1554100.00,3748735.00
1974,North Carolina,"OYSTER, EASTERN",253.30,558500.00,435777.00
1974,South Carolina,"OYSTER, EASTERN",507.60,1119100.00,657308.00
1974,Texas,"OYSTER, EASTERN",564.10,1243700.00,1125788.00
1974,Virginia,"OYSTER, EASTERN",3056.30,6737900.00,4844038.00
1975,Alabama,"OYSTER, EASTERN",289.40,638100.00,576149.00
1975,California,"OYSTER, EASTERN",1.80,4000.00,22973.00
1975,Connecticut,"OYSTER, EASTERN",244.50,539000.00,1001000.00
1975,Delaware,"OYSTER, EASTERN",88.50,195000.00,226751.00
1975,Florida East Coast,"OYSTER, EASTERN",36.10,79500.00,76891.00
1975,Florida West Coast,"OYSTER, EASTERN",967.80,2133600.00,1183282.00
1975,Georgia,"OYSTER, EASTERN",20.00,44100.00,25613.00
1975,Louisiana,"OYSTER, EASTERN",6208.30,13686900.00,7174309.00
1975,Maryland,"OYSTER, EASTERN",7440.00,16402300.00,13126669.00
1975,Massachusetts,"OYSTER, EASTERN",27.70,61100.00,189268.00
1975,Mississippi,"OYSTER, EASTERN",490.20,1080700.00,534497.00
1975,New Jersey,"OYSTER, EASTERN",440.90,972100.00,902833.00
1975,New York,"OYSTER, EASTERN",955.60,2106800.00,5176007.00
1975,North Carolina,"OYSTER, EASTERN",192.60,424600.00,329794.00
1975,South Carolina,"OYSTER, EASTERN",470.20,1036500.00,616549.00
1975,Texas,"OYSTER, EASTERN",796.50,1756000.00,1392028.00
1975,Virginia,"OYSTER, EASTERN",2829.20,6237200.00,4999122.00
1976,Alabama,"OYSTER, EASTERN",560.70,1236100.00,1155475.00
1976,California,"OYSTER, EASTERN",2.60,5700.00,24704.00
1976,Connecticut,"OYSTER, EASTERN",61.60,135800.00,282160.00
1976,Delaware,"OYSTER, EASTERN",119.00,262300.00,380700.00
1976,Florida East Coast,"OYSTER, EASTERN",50.70,111800.00,114267.00
1976,Florida West Coast,"OYSTER, EASTERN",1180.50,2602600.00,1664339.00
1976,Georgia,"OYSTER, EASTERN",32.60,71900.00,49240.00
1976,Louisiana,"OYSTER, EASTERN",5594.80,12334400.00,9091430.00
1976,Maryland,"OYSTER, EASTERN",6749.70,14880300.00,15870395.00
1976,Massachusetts,"OYSTER, EASTERN",29.50,65100.00,168208.00
1976,Mississippi,"OYSTER, EASTERN",687.80,1516300.00,1015165.00
1976,New Jersey,"OYSTER, EASTERN",636.20,1402600.00,1315876.00
1976,New York,"OYSTER, EASTERN",862.30,1901000.00,4763957.00
1976,North Carolina,"OYSTER, EASTERN",151.20,333300.00,292058.00
1976,South Carolina,"OYSTER, EASTERN",538.40,1187000.00,759063.00
1976,Texas,"OYSTER, EASTERN",1760.30,3880700.00,3200211.00
1976,Virginia,"OYSTER, EASTERN",2759.70,6084100.00,5877220.00
1977,Alabama,"OYSTER, EASTERN",702.70,1549200.00,1548399.00
1977,California,"OYSTER, EASTERN",1.70,3800.00,16567.00
1977,Connecticut,"OYSTER, EASTERN",386.50,852000.00,1991576.00
1977,Delaware,"OYSTER, EASTERN",57.80,127500.00,196190.00
1977,Florida East Coast,"OYSTER, EASTERN",57.10,125900.00,139281.00
1977,Florida West Coast,"OYSTER, EASTERN",1846.90,4071700.00,2966530.00
1977,Georgia,"OYSTER, EASTERN",39.60,87300.00,75009.00
1977,Louisiana,"OYSTER, EASTERN",4565.70,10065500.00,10363130.00
1977,Maryland,"OYSTER, EASTERN",5909.60,13028200.00,14352138.00
1977,Massachusetts,"OYSTER, EASTERN",24.10,53100.00,137060.00
1977,Mississippi,"OYSTER, EASTERN",628.70,1386000.00,1156208.00
1977,New Jersey,"OYSTER, EASTERN",555.70,1225000.00,1415710.00
1977,New York,"OYSTER, EASTERN",480.90,1060100.00,2679401.00
1977,North Carolina,"OYSTER, EASTERN",165.90,365800.00,353581.00
1977,South Carolina,"OYSTER, EASTERN",582.20,1283600.00,868928.00
1977,Texas,"OYSTER, EASTERN",1179.60,2600500.00,2991744.00
1977,Virginia,"OYSTER, EASTERN",2261.40,4985500.00,5580638.00
1978,Alabama,"OYSTER, EASTERN",344.70,760011.00,846833.00
1978,California,"OYSTER, EASTERN",0.10,300.00,1426.00
1978,Connecticut,"OYSTER, EASTERN",480.00,1058300.00,3023900.00
1978,Delaware,"OYSTER, EASTERN",29.10,64200.00,76957.00
1978,Florida East Coast,"OYSTER, EASTERN",42.50,93651.00,108903.00
1978,Florida West Coast,"OYSTER, EASTERN",2667.20,5880212.00,4498241.00
1978,Georgia,"OYSTER, EASTERN",9.50,20938.00,18792.00
1978,Louisiana,"OYSTER, EASTERN",4382.50,9661769.00,12163569.00
1978,Maryland,"OYSTER, EASTERN",6519.50,14372900.00,15833745.00
1978,Massachusetts,"OYSTER, EASTERN",32.10,70800.00,230027.00
1978,Mississippi,"OYSTER, EASTERN",309.50,682430.00,735059.00
1978,New Jersey,"OYSTER, EASTERN",704.20,1552400.00,2016728.00
1978,New York,"OYSTER, EASTERN",361.70,797400.00,2332723.00
1978,North Carolina,"OYSTER, EASTERN",203.90,449544.00,547783.00
1978,Rhode Island,"OYSTER, EASTERN",0.20,400.00,915.00
1978,South Carolina,"OYSTER, EASTERN",697.40,1537479.00,1146006.00
1978,Texas,"OYSTER, EASTERN",865.00,1907011.00,2205752.00
1978,Virginia,"OYSTER, EASTERN",3668.40,8087300.00,9031615.00
1979,Alabama,"OYSTER, EASTERN",208.80,460344.00,479137.00
1979,California,"OYSTER, EASTERN",0.00,81.00,426.00
1979,Connecticut,"OYSTER, EASTERN",79.30,174800.00,567500.00
1979,Delaware,"OYSTER, EASTERN",4.40,9600.00,15156.00
1979,Florida East Coast,"OYSTER, EASTERN",36.90,81349.00,103466.00
1979,Florida West Coast,"OYSTER, EASTERN",2778.20,6124910.00,5151267.00
1979,Georgia,"OYSTER, EASTERN",5.20,11375.00,11459.00
1979,Louisiana,"OYSTER, EASTERN",3499.30,7714450.00,10882635.00
1979,Maryland,"OYSTER, EASTERN",6118.60,13489000.00,17120385.00
1979,Massachusetts,"OYSTER, EASTERN",41.00,90400.00,389847.00
1979,Mississippi,"OYSTER, EASTERN",123.40,272100.00,275471.00
1979,New Jersey,"OYSTER, EASTERN",759.90,1675300.00,2362590.00
1979,New York,"OYSTER, EASTERN",614.60,1354900.00,4331125.00
1979,North Carolina,"OYSTER, EASTERN",301.50,664701.00,924842.00
1979,Rhode Island,"OYSTER, EASTERN",0.10,300.00,774.00
1979,South Carolina,"OYSTER, EASTERN",766.50,1689866.00,1334299.00
1979,Texas,"OYSTER, EASTERN",403.20,888795.00,1048652.00
1979,Virginia,"OYSTER, EASTERN",3717.90,8196500.00,9862703.00
1980,Alabama,"OYSTER, EASTERN",24.80,54755.00,72265.00
1980,California,"OYSTER, EASTERN",0.10,111.00,578.00
1980,Connecticut,"OYSTER, EASTERN",315.20,695000.00,2370066.00
1980,Delaware,"OYSTER, EASTERN",227.70,502000.00,594000.00
1980,Florida East Coast,"OYSTER, EASTERN",44.20,97379.00,124107.00
1980,Florida West Coast,"OYSTER, EASTERN",3064.50,6755931.00,6053164.00
1980,Georgia,"OYSTER, EASTERN",13.10,28960.00,36297.00
1980,Louisiana,"OYSTER, EASTERN",3151.30,6947458.00,11299075.00
1980,Maryland,"OYSTER, EASTERN",6778.80,14944600.00,19832274.00
1980,Massachusetts,"OYSTER, EASTERN",134.10,295700.00,1218912.00
1980,Mississippi,"OYSTER, EASTERN",9.40,20786.00,21995.00
1980,New Jersey,"OYSTER, EASTERN",343.20,756600.00,1145679.00
1980,New York,"OYSTER, EASTERN",582.40,1284000.00,4250014.00
1980,North Carolina,"OYSTER, EASTERN",328.00,723099.00,987958.00
1980,Rhode Island,"OYSTER, EASTERN",0.10,300.00,806.00
1980,South Carolina,"OYSTER, EASTERN",651.40,1436077.00,1222580.00
1980,Texas,"OYSTER, EASTERN",788.60,1738494.00,2692318.00
1980,Virginia,"OYSTER, EASTERN",3559.10,7846500.00,9490846.00
1981,Alabama,"OYSTER, EASTERN",603.30,1329925.00,2002392.00
1981,Connecticut,"OYSTER, EASTERN",429.60,947200.00,3210668.00
1981,Delaware,"OYSTER, EASTERN",147.90,326000.00,419936.00
1981,Florida East Coast,"OYSTER, EASTERN",44.90,99055.00,120512.00
1981,Florida West Coast,"OYSTER, EASTERN",3252.40,7170329.00,7056356.00
1981,Georgia,"OYSTER, EASTERN",11.30,24898.00,35716.00
1981,Louisiana,"OYSTER, EASTERN",4124.40,9092576.00,16163072.00
1981,Maryland,"OYSTER, EASTERN",7131.30,15721600.00,21701605.00
1981,Massachusetts,"OYSTER, EASTERN",61.60,135800.00,604400.00
1981,Mississippi,"OYSTER, EASTERN",211.90,467070.00,472729.00
1981,New Jersey,"OYSTER, EASTERN",202.80,447000.00,767215.00
1981,New York,"OYSTER, EASTERN",741.80,1635400.00,5870571.00
1981,North Carolina,"OYSTER, EASTERN",249.10,549139.00,728031.00
1981,Rhode Island,"OYSTER, EASTERN",0.00,100.00,382.00
1981,South Carolina,"OYSTER, EASTERN",665.50,1467254.00,1378224.00
1981,Texas,"OYSTER, EASTERN",592.70,1306584.00,2028533.00
1981,Virginia,"OYSTER, EASTERN",2669.20,5884600.00,7595270.00
1981,Washington,"OYSTER, EASTERN",1.00,2144.00,8552.00
1982,Alabama,"OYSTER, EASTERN",679.00,1496949.00,2150500.00
1982,California,"OYSTER, EASTERN",0.00,53.00,394.00
1982,Connecticut,"OYSTER, EASTERN",453.40,999600.00,4288175.00
1982,Delaware,"OYSTER, EASTERN",111.60,246000.00,396800.00
1982,Florida East Coast,"OYSTER, EASTERN",186.10,410344.00,573283.00
1982,Florida West Coast,"OYSTER, EASTERN",2187.30,4822012.00,4840634.00
1982,Georgia,"OYSTER, EASTERN",8.00,17694.00,23187.00
1982,Louisiana,"OYSTER, EASTERN",5725.10,12621484.00,17010770.00
1982,Maryland,"OYSTER, EASTERN",5568.00,12275300.00,18320171.00
1982,Massachusetts,"OYSTER, EASTERN",57.30,126300.00,525226.00
1982,Mississippi,"OYSTER, EASTERN",1168.50,2575970.00,2237683.00
1982,New Jersey,"OYSTER, EASTERN",291.00,641500.00,1067061.00
1982,New York,"OYSTER, EASTERN",668.10,1472900.00,6775460.00
1982,North Carolina,"OYSTER, EASTERN",276.00,608372.00,903025.00
1982,Rhode Island,"OYSTER, EASTERN",0.10,200.00,713.00
1982,South Carolina,"OYSTER, EASTERN",734.30,1618826.00,806571.00
1982,Texas,"OYSTER, EASTERN",1648.00,3633147.00,5313721.00
1982,Virginia,"OYSTER, EASTERN",2381.10,5249400.00,7448155.00
1983,Alabama,"OYSTER, EASTERN",152.30,335666.00,417153.00
1983,Connecticut,"OYSTER, EASTERN",448.60,989000.00,4203250.00
1983,Delaware,"OYSTER, EASTERN",87.00,191800.00,279000.00
1983,Florida East Coast,"OYSTER, EASTERN",35.40,77959.00,117498.00
1983,Florida West Coast,"OYSTER, EASTERN",1962.50,4326494.00,4580948.00
1983,Georgia,"OYSTER, EASTERN",1.80,3898.00,5338.00
1983,Louisiana,"OYSTER, EASTERN",5998.60,13224445.00,17611827.00
1983,Maryland,"OYSTER, EASTERN",3377.20,7445400.00,13951428.00
1983,Massachusetts,"OYSTER, EASTERN",34.40,75800.00,443460.00
1983,Mississippi,"OYSTER, EASTERN",1511.80,3333010.00,3600967.00
1983,New Jersey,"OYSTER, EASTERN",320.00,705400.00,1487240.00
1983,New York,"OYSTER, EASTERN",597.80,1317900.00,4362758.00
1983,North Carolina,"OYSTER, EASTERN",326.40,719511.00,1115433.00
1983,Rhode Island,"OYSTER, EASTERN",1.50,3400.00,13046.00
1983,South Carolina,"OYSTER, EASTERN",822.50,1813301.00,1067185.00
1983,Texas,"OYSTER, EASTERN",3601.90,7940749.00,11336655.00
1983,Virginia,"OYSTER, EASTERN",1901.50,4192100.00,5882175.00
1984,Alabama,"OYSTER, EASTERN",216.50,477248.00,681186.00
1984,Connecticut,"OYSTER, EASTERN",851.80,1877900.00,8450550.00
1984,Delaware,"OYSTER, EASTERN",58.30,128600.00,395065.00
1984,Florida East Coast,"OYSTER, EASTERN",49.30,108772.00,207717.00
1984,Florida West Coast,"OYSTER, EASTERN",3003.20,6620926.00,7299003.00
1984,Georgia,"OYSTER, EASTERN",2.00,4507.00,6774.00
1984,Louisiana,"OYSTER, EASTERN",6328.40,13951652.00,25295638.00
1984,Maryland,"OYSTER, EASTERN",3648.10,8042500.00,18850196.00
1984,Massachusetts,"OYSTER, EASTERN",37.20,82000.00,444078.00
1984,Mississippi,"OYSTER, EASTERN",625.10,1378202.00,1733819.00
1984,New Jersey,"OYSTER, EASTERN",357.80,788800.00,2098934.00
1984,New York,"OYSTER, EASTERN",316.20,697000.00,2763528.00
1984,North Carolina,"OYSTER, EASTERN",328.70,724557.00,1207277.00
1984,South Carolina,"OYSTER, EASTERN",753.00,1660076.00,1213230.00
1984,Texas,"OYSTER, EASTERN",2344.10,5167731.00,8308694.00
1984,Virginia,"OYSTER, EASTERN",1960.20,4321500.00,7350928.00
1985,Alabama,"OYSTER, EASTERN",654.00,1441847.00,1811331.00
1985,Connecticut,"OYSTER, EASTERN",392.10,864400.00,4131832.00
1985,Delaware,"OYSTER, EASTERN",17.80,39300.00,95387.00
1985,Florida East Coast,"OYSTER, EASTERN",5.10,11245.00,19951.00
1985,Florida West Coast,"OYSTER, EASTERN",1992.80,4393367.00,5068451.00
1985,Georgia,"OYSTER, EASTERN",15.10,33398.00,55827.00
1985,Louisiana,"OYSTER, EASTERN",6507.90,14347231.00,23757852.00
1985,Maryland,"OYSTER, EASTERN",3899.90,8597800.00,15572626.00
1985,Massachusetts,"OYSTER, EASTERN",40.00,88100.00,672381.00
1985,Mississippi,"OYSTER, EASTERN",541.00,1192650.00,1499004.00
1985,New Jersey,"OYSTER, EASTERN",133.00,293200.00,1065012.00
1985,New York,"OYSTER, EASTERN",135.50,298800.00,1203188.00
1985,North Carolina,"OYSTER, EASTERN",247.40,545439.00,1037153.00
1985,South Carolina,"OYSTER, EASTERN",579.40,1277387.00,1353583.00
1985,Texas,"OYSTER, EASTERN",2328.70,5133937.00,8754813.00
1985,Virginia,"OYSTER, EASTERN",2051.90,4523718.00,7224272.00
1986,Alabama,"OYSTER, EASTERN",428.90,945560.00,1563853.00
1986,Connecticut,"OYSTER, EASTERN",403.50,889600.00,6263385.00
1986,Florida East Coast,"OYSTER, EASTERN",54.40,119936.00,277918.00
1986,Florida West Coast,"OYSTER, EASTERN",944.00,2081151.00,3970722.00
1986,Georgia,"OYSTER, EASTERN",1.80,3882.00,7630.00
1986,Louisiana,"OYSTER, EASTERN",5739.60,12653509.00,24384551.00
1986,Maryland,"OYSTER, EASTERN",3611.40,7961800.00,18264794.00
1986,Massachusetts,"OYSTER, EASTERN",35.60,78400.00,676277.00
1986,Mississippi,"OYSTER, EASTERN",545.20,1202015.00,1799882.00
1986,New Jersey,"OYSTER, EASTERN",47.50,104800.00,515023.00
1986,New York,"OYSTER, EASTERN",120.20,265000.00,1220320.00
1986,North Carolina,"OYSTER, EASTERN",338.20,745548.00,1452056.00
1986,South Carolina,"OYSTER, EASTERN",298.60,658190.00,1238435.00
1986,Texas,"OYSTER, EASTERN",2562.50,5649314.00,10338689.00
1986,Virginia,"OYSTER, EASTERN",2621.90,5780239.00,10857814.00
1987,Alabama,"OYSTER, EASTERN",40.10,88307.00,293904.00
1987,Connecticut,"OYSTER, EASTERN",243.50,536854.00,3899292.00
1987,Florida East Coast,"OYSTER, EASTERN",49.70,109517.00,266844.00
1987,Florida West Coast,"OYSTER, EASTERN",1669.90,3681371.00,9599969.00
1987,Georgia,"OYSTER, EASTERN",4.10,8983.00,17490.00
1987,Louisiana,"OYSTER, EASTERN",5455.20,12026508.00,31034461.00
1987,Maine,"OYSTER, EASTERN",21.00,46400.00,149738.00
1987,Maryland,"OYSTER, EASTERN",1733.60,3822000.00,11817109.00
1987,Massachusetts,"OYSTER, EASTERN",32.20,71000.00,663161.00
1987,Mississippi,"OYSTER, EASTERN",59.90,132103.00,426723.00
1987,New Jersey,"OYSTER, EASTERN",6.60,14600.00,62064.00
1987,New York,"OYSTER, EASTERN",79.00,174100.00,1076802.00
1987,North Carolina,"OYSTER, EASTERN",645.10,1422207.00,2868625.00
1987,Rhode Island,"OYSTER, EASTERN",0.80,1800.00,8441.00
1987,South Carolina,"OYSTER, EASTERN",196.60,433418.00,1032448.00
1987,Texas,"OYSTER, EASTERN",1289.90,2843619.00,6753947.00
1987,Virginia,"OYSTER, EASTERN",2188.90,4825600.00,11837160.00
1988,Alabama,"OYSTER, EASTERN",46.80,103242.00,276092.00
1988,Connecticut,"OYSTER, EASTERN",495.30,1091950.00,8504801.00
1988,Florida East Coast,"OYSTER, EASTERN",68.80,151775.00,491242.00
1988,Florida West Coast,"OYSTER, EASTERN",936.80,2065301.00,5476033.00
1988,Georgia,"OYSTER, EASTERN",16.10,35513.00,71147.00
1988,Louisiana,"OYSTER, EASTERN",6011.90,13253772.00,31208500.00
1988,Maine,"OYSTER, EASTERN",28.60,63100.00,322543.00
1988,Maryland,"OYSTER, EASTERN",1092.60,2408800.00,7270031.00
1988,Massachusetts,"OYSTER, EASTERN",30.70,67735.00,617425.00
1988,Mississippi,"OYSTER, EASTERN",66.50,146602.00,464060.00
1988,New York,"OYSTER, EASTERN",146.90,323900.00,1752406.00
1988,North Carolina,"OYSTER, EASTERN",407.20,897614.00,2127079.00
1988,South Carolina,"OYSTER, EASTERN",137.30,302638.00,896178.00
1988,Texas,"OYSTER, EASTERN",1029.50,2269572.00,5670864.00
1988,Virginia,"OYSTER, EASTERN",1327.70,2927000.00,7734980.00
1989,Alabama,"OYSTER, EASTERN",5.20,11476.00,30828.00
1989,Connecticut,"OYSTER, EASTERN",876.40,1932100.00,15040771.00
1989,Florida East Coast,"OYSTER, EASTERN",72.70,160374.00,277227.00
1989,Florida West Coast,"OYSTER, EASTERN",770.40,1698403.00,5039928.00
1989,Georgia,"OYSTER, EASTERN",30.90,68081.00,137174.00
1989,Louisiana,"OYSTER, EASTERN",5264.40,11605856.00,32989663.00
1989,Maine,"OYSTER, EASTERN",20.40,44900.00,226929.00
1989,Maryland,"OYSTER, EASTERN",1056.20,2328500.00,7888844.00
1989,Massachusetts,"OYSTER, EASTERN",17.10,37600.00,492943.00
1989,Mississippi,"OYSTER, EASTERN",45.40,100109.00,346617.00
1989,New York,"OYSTER, EASTERN",153.70,338900.00,1955176.00
1989,North Carolina,"OYSTER, EASTERN",240.30,529858.00,1575634.00
1989,South Carolina,"OYSTER, EASTERN",175.30,386479.00,1128578.00
1989,Texas,"OYSTER, EASTERN",1092.00,2407427.00,6039175.00
1989,Virginia,"OYSTER, EASTERN",895.70,1974600.00,6018810.00
1989,Washington,"OYSTER, EASTERN",0.10,159.00,1212.00
1990,Alabama,"OYSTER, EASTERN",38.10,84055.00,211047.00
1990,Connecticut,"OYSTER, EASTERN",1327.40,2926458.00,22648802.00
1990,Florida East Coast,"OYSTER, EASTERN",88.90,195954.00,316009.00
1990,Florida West Coast,"OYSTER, EASTERN",932.10,2054855.00,6697327.00
1990,Georgia,"OYSTER, EASTERN",32.50,71689.00,150468.00
1990,Louisiana,"OYSTER, EASTERN",3698.30,8153371.00,29940039.00
1990,Maine,"OYSTER, EASTERN",158.70,349894.00,1736264.00
1990,Maryland,"OYSTER, EASTERN",1307.40,2882325.00,10747729.00
1990,Massachusetts,"OYSTER, EASTERN",14.20,31388.00,316252.00
1990,Mississippi,"OYSTER, EASTERN",66.90,147517.00,402976.00
1990,New Jersey,"OYSTER, EASTERN",227.10,500560.00,2301920.00
1990,New York,"OYSTER, EASTERN",363.00,800167.00,4054886.00
1990,North Carolina,"OYSTER, EASTERN",149.10,328797.00,1159832.00
1990,South Carolina,"OYSTER, EASTERN",106.30,234265.00,774966.00
1990,Texas,"OYSTER, EASTERN",864.00,1904693.00,5886357.00
1990,Virginia,"OYSTER, EASTERN",740.60,1632788.00,5171581.00
1991,Alabama,"OYSTER, EASTERN",127.40,280959.00,497232.00
1991,Connecticut,"OYSTER, EASTERN",1893.60,4174600.00,26792400.00
1991,Delaware,"OYSTER, EASTERN",23.70,52300.00,57000.00
1991,Florida East Coast,"OYSTER, EASTERN",56.80,125300.00,194673.00
1991,Florida West Coast,"OYSTER, EASTERN",813.40,1793191.00,4928899.00
1991,Georgia,"OYSTER, EASTERN",38.40,84641.00,167460.00
1991,Louisiana,"OYSTER, EASTERN",3295.40,7265084.00,19191835.00
1991,Maine,"OYSTER, EASTERN",70.70,155929.00,607937.00
1991,Maryland,"OYSTER, EASTERN",760.90,1677500.00,5282666.00
1991,Massachusetts,"OYSTER, EASTERN",15.00,33085.00,287930.00
1991,Mississippi,"OYSTER, EASTERN",46.30,102076.00,157428.00
1991,New Jersey,"OYSTER, EASTERN",95.10,209599.00,685190.00
1991,New York,"OYSTER, EASTERN",379.50,836593.00,2736782.00
1991,North Carolina,"OYSTER, EASTERN",144.70,319040.00,1229293.00
1991,Rhode Island,"OYSTER, EASTERN",4.10,9046.00,46917.00
1991,South Carolina,"OYSTER, EASTERN",169.30,373327.00,1198730.00
1991,Texas,"OYSTER, EASTERN",1322.70,2915986.00,7043487.00
1991,Virginia,"OYSTER, EASTERN",772.80,1703660.00,4881402.00
1991,Washington,"OYSTER, EASTERN",0.10,245.00,1800.00
1992,Alabama,"OYSTER, EASTERN",545.10,1201799.00,1728733.00
1992,Connecticut,"OYSTER, EASTERN",3131.30,6903200.00,44763400.00
1992,Delaware,"OYSTER, EASTERN",53.70,118400.00,352828.00
1992,Florida East Coast,"OYSTER, EASTERN",48.60,107124.00,222633.00
1992,Florida West Coast,"OYSTER, EASTERN",1133.30,2498516.00,4168842.00
1992,Georgia,"OYSTER, EASTERN",38.80,85464.00,182021.00
1992,Louisiana,"OYSTER, EASTERN",4165.50,9183295.00,20693784.00
